"","pan.samplesID","cancer.type","Subtype_mRNA","Subtype_DNAmeth","Subtype_protein","Subtype_miRNA","Subtype_CNA","Subtype_Integrative","Subtype_other","Subtype_Selected"
"408","TCGA-E2-A158-11A-22R-A12D-07","BRCA","Normal",NA,NA,NA,NA,NA,NA,"BRCA.Normal"
"409","TCGA-BH-A0DD-11A-23R-A12P-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"410","TCGA-BH-A1EO-11A-31R-A137-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"411","TCGA-BH-A0B5-11A-23R-A12P-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"412","TCGA-A7-A13G-11A-51R-A13Q-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"413","TCGA-E9-A1NF-11A-73R-A14D-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"414","TCGA-A7-A0D9-11A-53R-A089-07","BRCA","Normal",NA,NA,NA,NA,NA,NA,"BRCA.Normal"
"415","TCGA-A7-A0DB-11A-33R-A089-07","BRCA","Normal",NA,NA,NA,NA,NA,NA,"BRCA.Normal"
"416","TCGA-BH-A0B8-11A-41R-A089-07","BRCA","Normal",NA,NA,NA,NA,NA,NA,"BRCA.Normal"
"417","TCGA-E9-A1RC-11A-33R-A157-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"418","TCGA-E9-A1RF-11A-32R-A157-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"419","TCGA-E2-A1LS-11A-32R-A157-07","BRCA","Normal",NA,NA,NA,NA,NA,NA,"BRCA.Normal"
"420","TCGA-E9-A1RI-11A-41R-A169-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"421","TCGA-GI-A2C8-11A-22R-A16F-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"422","TCGA-A8-A07B-01A-11R-A00Z-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"423","TCGA-A8-A08B-01A-11R-A00Z-07","BRCA","Her2",NA,NA,NA,NA,NA,NA,"BRCA.Her2"
"424","TCGA-A8-A08P-01A-11R-A00Z-07","BRCA","LumB",NA,NA,NA,NA,NA,NA,"BRCA.LumB"
"425","TCGA-A8-A094-01A-11R-A00Z-07","BRCA","Her2",NA,NA,NA,NA,NA,NA,"BRCA.Her2"
"426","TCGA-A8-A09T-01A-11R-A00Z-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"427","TCGA-AO-A03O-01A-11R-A00Z-07","BRCA","LumB",NA,NA,NA,NA,NA,NA,"BRCA.LumB"
"428","TCGA-BH-A0DZ-01A-11R-A00Z-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"429","TCGA-A2-A04P-01A-31R-A034-07","BRCA","Basal",NA,NA,NA,NA,NA,NA,"BRCA.Basal"
